,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
48,6,0,25,0,0,29,0,0,12,0,0,0,0,0,0,1
49,4,0,0,0,0,0,24,15,7,0,0,0,3,0,0,1
50,1,0,18,0,0,17,0,0,24,0,0,0,0,0,0,1
51,2,4,0,0,21,0,1,0,1,6,31,0,1,0,0,1
52,5,0,0,4,0,0,0,0,27,13,0,8,0,0,0,13
53,1,5,0,0,1,23,0,13,5,0,0,4,0,9,0,1
54,2,0,0,4,6,0,5,0,39,31,0,15,1,0,0,2
55,4,1,2,0,0,2,31,0,3,2,0,0,3,16,0,2
56,2,0,0,0,1,0,0,0,0,4,0,23,0,23,0,22
57,10,0,0,2,0,0,0,0,8,0,0,0,0,0,0,21
58,2,0,14,0,0,0,13,13,25,0,0,0,0,0,0,1
59,2,0,1,0,1,0,20,21,16,0,0,0,4,0,0,1
60,6,0,0,0,0,0,3,0,0,13,0,0,19,0,0,23
61,10,0,0,0,14,19,0,21,1,0,0,0,0,0,0,1
62,22,0,0,2,0,0,0,0,23,8,0,0,0,0,0,32
63,6,0,0,0,0,0,2,0,21,16,0,9,0,0,0,4
64,17,0,0,6,0,0,1,0,16,8,0,0,0,0,0,27
65,1,0,0,0,7,0,0,0,0,0,0,4,0,10,0,18
66,9,0,6,0,14,0,33,28,16,0,0,2,9,1,3,3
67,2,0,0,0,0,0,4,0,39,24,0,4,0,0,0,11
68,1,0,11,0,2,0,7,9,20,0,0,0,2,0,1,1
69,1,0,0,4,32,0,34,0,18,0,0,0,0,0,0,2
70,18,0,0,0,0,0,2,0,20,1,0,0,0,0,0,27
71,3,0,2,0,4,0,41,24,0,0,0,2,23,0,0,1
72,1,0,0,5,20,0,17,0,5,0,0,0,7,0,0,3
73,7,0,0,1,0,0,0,0,34,16,0,1,0,0,0,17
74,1,0,0,0,1,0,29,29,9,0,0,0,0,0,0,2
75,10,0,0,1,0,0,0,0,17,0,0,0,0,0,0,25
76,1,1,1,0,0,2,34,0,38,14,0,0,1,0,0,2
77,1,0,0,1,26,0,26,0,16,0,0,3,0,0,2,3
78,4,0,0,1,0,0,2,0,38,31,0,4,0,0,0,2
79,12,0,0,0,0,0,0,0,0,14,0,0,20,0,0,30
80,4,0,13,0,11,0,1,0,28,0,0,0,0,1,0,7
81,1,0,0,0,0,0,2,0,36,36,0,10,0,0,0,3
82,1,0,0,0,17,0,0,0,0,0,0,16,0,14,0,29
83,5,0,3,0,0,1,28,0,18,0,0,0,0,16,0,1
84,8,0,0,0,0,3,18,0,13,2,0,0,2,15,2,2
85,3,0,0,7,0,0,2,0,22,29,0,14,0,0,0,1
86,1,0,0,0,12,0,0,0,0,1,0,7,0,11,0,31
87,26,0,0,26,0,0,10,0,0,0,0,0,0,0,0,2
88,2,0,0,0,0,0,4,0,0,21,0,0,29,0,0,14
89,2,0,4,0,0,2,33,0,18,5,0,0,1,11,0,1
90,11,0,0,0,0,21,0,22,23,0,0,0,0,0,1,1
91,5,0,0,0,0,0,3,0,0,9,0,0,16,0,0,17
92,2,0,0,0,0,30,0,0,0,0,30,0,0,0,0,7
93,15,0,2,0,0,0,14,5,1,0,0,0,23,0,0,2
94,9,0,0,1,0,0,0,0,37,8,0,0,0,0,0,27
95,3,0,0,0,0,0,0,0,0,9,0,0,18,0,0,29
96,1,0,3,0,1,0,21,13,3,0,0,0,12,0,0,1
97,1,0,0,0,2,0,39,34,5,0,0,0,6,0,0,1
98,14,0,0,3,0,0,0,0,36,9,0,0,0,0,0,36
99,4,0,3,0,1,0,19,8,1,0,0,0,11,0,0,2
100,1,29,0,25,0,8,0,0,0,0,2,0,0,0,0,1
101,8,0,0,1,0,0,1,0,19,13,0,5,0,0,1,15
102,2,0,8,0,2,0,24,25,15,0,0,0,7,0,0,1
103,7,0,11,0,4,0,42,31,11,0,0,0,21,0,0,8
104,3,0,10,0,0,26,0,0,17,0,0,0,0,0,0,3
105,1,0,0,0,0,0,27,26,13,0,0,0,0,0,0,2
106,3,0,0,6,0,0,5,0,16,21,0,12,0,0,0,6
107,7,0,3,0,7,2,0,37,21,0,9,4,0,0,15,2
108,15,0,0,2,0,0,0,0,24,5,0,0,0,0,0,28
109,3,0,5,0,0,1,27,0,16,1,0,0,0,18,1,2
110,29,0,0,3,0,0,0,0,15,1,0,0,0,0,0,38
111,2,1,2,1,2,0,17,25,5,0,0,0,2,1,0,1
112,2,0,0,1,0,0,2,0,20,28,0,4,0,0,0,2
113,25,0,3,0,1,0,12,3,2,0,0,2,27,1,3,2
114,7,0,3,0,3,0,28,23,13,0,0,0,5,0,0,2
115,35,0,0,1,0,0,0,0,11,1,0,0,0,0,0,35
116,1,2,4,0,0,7,0,9,18,0,33,0,0,0,0,2
117,24,0,1,0,2,0,15,2,0,0,0,0,23,0,0,1
118,17,0,0,5,0,0,0,0,22,4,0,0,0,0,0,31
119,2,0,2,0,0,4,27,0,29,13,0,0,4,1,4,1
120,2,15,0,0,0,1,0,1,34,0,19,4,0,1,0,17
121,1,0,4,0,1,0,25,19,13,0,0,0,3,0,0,1
122,1,0,0,0,0,0,2,0,0,24,0,0,31,0,0,9
123,3,0,15,0,9,0,3,0,31,0,0,0,0,0,0,5
124,3,0,6,0,0,3,24,0,32,19,0,0,0,0,0,1
125,4,4,0,10,4,2,25,24,15,3,0,6,2,2,3,2
126,4,0,0,1,0,0,1,0,31,18,0,1,0,0,0,17
127,1,0,3,0,5,0,6,5,17,0,0,0,0,0,0,27
128,1,0,3,0,3,0,24,28,20,0,0,0,1,0,0,1
129,1,0,0,2,29,0,25,0,6,0,0,0,1,0,0,1
130,8,0,0,1,0,0,0,0,39,20,0,1,0,0,0,14
131,5,0,1,0,0,1,29,0,16,2,0,0,0,9,0,1
132,4,0,0,0,1,0,36,30,10,0,0,0,1,0,0,1
133,17,0,4,0,0,0,28,0,4,0,0,0,0,34,0,1
134,3,0,9,0,3,0,19,26,27,0,0,0,1,0,0,2
135,1,0,0,0,9,0,23,0,27,0,12,0,0,0,0,4
136,2,0,29,0,0,24,0,0,5,0,0,0,0,0,0,2
137,16,0,0,7,0,0,3,0,10,1,0,0,0,0,0,29
138,3,2,5,0,0,0,15,17,18,0,0,0,0,2,0,2
139,2,0,0,0,0,0,0,0,0,3,0,30,0,29,0,5
140,14,0,3,0,1,0,37,12,1,0,0,0,29,0,0,1
141,2,0,30,0,0,30,0,0,14,0,0,0,0,0,0,2
142,12,0,0,0,1,0,47,29,2,0,0,0,23,0,0,1
143,6,0,0,6,0,0,1,0,30,13,0,0,0,0,1,17
144,1,0,0,3,0,0,3,0,25,24,0,9,0,0,0,2
145,5,0,6,0,6,0,20,35,22,0,0,0,0,0,0,2
146,2,0,0,0,14,0,0,0,0,0,0,8,0,9,0,19
147,6,0,1,0,2,0,35,20,1,0,0,0,21,0,0,1
148,2,0,0,1,29,0,24,0,13,0,0,0,3,0,0,1
149,2,0,0,1,0,0,0,0,44,33,0,1,0,0,0,3
150,12,0,1,0,9,16,0,42,0,0,0,0,0,0,0,1
151,1,0,17,0,1,0,19,18,25,0,0,0,2,4,0,1
152,6,0,0,2,0,0,0,0,30,20,0,2,0,0,2,14
153,1,0,0,1,0,0,3,0,13,17,0,23,0,0,0,3
154,7,0,1,0,16,0,4,0,14,0,0,0,0,0,0,18
155,7,0,0,5,0,0,2,0,23,5,0,0,0,0,0,24
156,14,0,2,0,0,0,8,0,1,0,0,0,3,29,1,2
157,4,0,0,12,0,0,3,0,10,12,0,23,0,0,0,2
158,6,0,5,0,2,0,29,11,3,0,0,0,15,0,0,5
159,11,1,5,0,0,0,19,4,1,0,0,2,22,0,1,2
160,10,0,0,5,0,0,0,0,21,5,0,0,0,0,0,24
161,17,2,1,0,10,0,2,4,0,0,0,0,30,0,0,4
162,14,0,0,5,0,0,5,0,16,0,0,1,0,0,0,18
163,1,0,0,3,0,5,22,0,20,12,1,0,4,0,0,3
164,1,0,1,0,0,0,2,0,0,0,3,0,30,0,33,19
165,7,0,0,2,0,0,0,0,27,22,0,0,0,0,1,17
166,10,0,1,0,0,1,0,0,13,0,13,0,0,16,0,1
167,37,1,0,5,0,0,3,0,7,2,0,0,0,0,0,41
168,3,0,0,0,21,0,0,0,0,0,0,10,0,13,0,27
169,1,0,0,0,32,35,0,16,1,0,0,0,0,0,0,1
170,11,0,13,0,3,0,26,20,17,0,0,0,14,0,0,3
171,2,0,4,0,3,0,15,23,24,0,0,0,1,0,0,2
172,2,0,0,0,27,0,30,0,14,0,0,1,2,0,0,3
173,4,0,2,0,0,0,16,0,13,5,0,0,0,11,0,2
174,30,0,0,3,0,0,1,0,16,1,0,0,0,0,0,38
175,4,0,0,2,0,0,1,0,28,10,0,1,0,0,0,14
176,1,3,0,11,0,2,4,0,12,21,2,0,1,0,0,2
177,2,0,0,0,0,0,0,0,24,20,0,12,0,0,0,1
178,2,0,0,0,0,1,42,0,32,6,0,0,0,5,0,1
179,2,0,0,2,0,0,0,0,34,19,0,0,0,0,0,8
180,7,2,20,0,3,0,6,16,35,0,0,0,1,4,3,15
181,1,0,0,7,0,2,10,0,11,24,0,0,0,0,0,2
182,2,0,0,0,0,0,1,0,38,32,0,4,0,0,0,8
183,1,0,0,0,2,0,0,0,0,2,0,15,0,16,0,24
184,3,0,0,3,0,0,0,0,38,28,0,2,0,0,0,11
185,5,0,13,0,17,0,1,0,24,0,0,0,0,0,0,11
186,2,0,0,0,0,0,2,0,29,32,0,21,0,0,0,1
187,4,0,4,0,0,2,0,32,18,0,3,0,0,4,14,1
188,26,0,0,5,0,0,0,0,10,1,0,0,0,0,0,26
189,7,0,0,0,0,5,21,0,14,2,0,0,0,12,0,1
190,1,6,0,8,0,7,16,0,17,22,0,0,2,0,0,2
191,2,0,0,1,0,0,1,0,28,21,0,7,0,0,1,4
192,5,0,1,0,3,0,30,13,7,0,0,0,15,0,0,1
193,17,0,0,0,0,0,0,0,32,8,0,0,0,0,0,27
194,1,0,2,0,0,2,12,0,19,15,0,0,0,2,0,1
195,5,0,6,0,0,1,10,0,4,8,0,0,2,16,0,2
196,2,2,0,1,0,2,34,0,27,14,0,0,9,0,0,2
197,1,0,0,0,15,0,0,0,0,0,0,13,0,23,0,31
198,2,0,0,0,0,0,43,0,25,1,0,0,0,4,1,1
199,24,1,5,0,3,0,18,5,0,0,0,2,39,0,0,1
200,2,34,0,37,0,13,0,0,0,0,1,0,0,0,0,1
201,2,0,0,0,0,22,0,0,0,0,26,0,0,0,0,13
202,9,0,2,0,0,4,13,0,8,1,0,0,3,17,0,2
203,4,0,2,0,0,1,17,0,8,0,0,0,5,18,0,2
204,1,0,0,14,0,0,5,0,10,27,0,0,0,1,0,2
205,10,0,0,3,2,0,2,0,29,14,0,6,1,0,0,8
206,1,0,24,0,12,0,1,0,31,0,0,0,0,0,0,13
207,4,0,6,0,2,0,4,1,12,0,0,0,0,0,0,16
208,1,3,1,5,3,3,27,25,2,5,0,10,0,0,0,3
209,15,0,0,2,0,0,1,0,19,2,0,3,0,0,0,32
210,1,0,15,0,9,0,1,0,23,0,0,0,0,0,0,5
211,3,0,6,0,8,0,33,28,23,0,0,0,8,0,0,3
212,6,0,9,0,1,0,29,33,12,0,0,0,2,0,0,3
213,1,0,3,0,4,0,36,34,9,0,0,0,6,0,0,1
214,28,0,2,0,1,0,24,2,0,0,0,0,39,0,0,1
215,1,0,2,0,1,0,25,23,13,3,0,0,1,0,0,4
216,2,0,1,0,0,2,34,0,31,3,0,0,0,7,0,1
217,1,0,0,0,3,0,28,0,35,0,18,0,0,0,0,1
218,3,0,0,0,14,0,0,0,0,1,0,9,0,8,0,26
219,5,0,2,0,21,23,0,16,0,0,0,1,0,0,0,2
220,1,0,0,2,0,0,3,0,17,19,0,8,0,0,0,5
221,16,0,0,0,0,0,1,0,0,9,0,0,14,0,0,33
222,4,0,0,0,2,0,23,22,4,0,0,0,0,0,0,1
223,8,0,33,0,0,28,0,0,8,0,0,0,0,1,0,5
224,1,0,0,2,0,0,1,0,30,24,0,2,0,0,0,6
225,2,0,0,0,0,26,0,0,0,0,26,0,0,0,0,18
226,1,0,0,0,4,0,0,0,0,4,0,18,0,28,0,21
227,24,1,0,4,0,0,3,0,6,2,0,0,0,0,1,26
228,9,0,0,3,0,0,1,0,24,14,0,7,0,0,0,18
229,5,0,0,0,0,0,0,0,0,0,0,12,0,16,0,18
230,24,1,2,0,0,0,13,1,0,0,0,2,43,0,2,1
231,12,0,8,0,1,0,19,4,5,0,0,0,22,0,0,1
232,3,0,0,1,0,0,0,0,24,17,0,6,0,0,0,10
233,1,0,0,0,17,0,0,0,0,0,0,9,0,15,0,32
234,6,0,3,0,14,0,2,0,12,0,0,0,0,0,0,21
235,20,1,0,2,0,0,1,0,11,0,0,0,0,0,0,24
236,4,0,0,0,1,0,29,0,33,0,19,0,0,0,0,1
237,4,0,0,0,22,0,0,0,0,2,0,3,0,7,0,33
238,3,0,0,0,0,0,3,0,30,29,0,12,0,0,0,2
239,1,0,1,0,0,3,34,0,23,7,0,0,1,11,0,2
240,2,0,8,0,1,0,11,8,23,0,0,0,4,0,2,1
241,10,0,3,0,3,0,43,29,7,0,0,0,9,0,0,9
242,5,0,6,0,0,1,16,0,8,4,0,0,4,15,7,6
243,1,0,11,0,0,3,0,0,0,0,17,0,0,0,0,1
244,9,1,0,2,0,0,1,0,27,7,0,0,0,0,0,26
245,2,0,15,0,3,0,13,14,28,0,0,0,0,0,0,1
246,2,8,0,17,0,10,36,0,41,24,0,0,2,0,0,4
247,1,2,0,1,0,0,36,0,28,9,0,0,9,0,0,1
248,3,0,0,0,1,0,29,30,20,0,0,0,1,0,0,7
249,1,0,3,0,6,0,21,24,16,0,0,0,2,0,0,1
250,1,0,0,0,13,0,0,0,0,1,0,7,0,8,0,22
251,23,0,0,3,0,0,1,0,18,0,0,0,0,0,0,38
252,5,0,0,1,0,0,1,0,27,15,0,11,0,0,0,10
253,1,0,4,0,4,0,16,20,10,0,0,0,1,0,0,6
254,1,7,0,2,0,2,37,0,26,1,2,0,6,0,0,1
255,3,10,1,13,1,4,31,0,23,13,2,0,11,0,0,3
256,1,0,0,11,0,0,0,0,23,22,0,19,0,0,0,3
257,18,0,0,6,0,0,0,0,23,4,0,0,0,0,0,28
258,2,0,0,0,0,0,0,0,44,19,0,0,0,0,0,18
259,1,0,1,0,3,0,31,22,8,0,0,0,3,0,0,1
260,11,1,1,0,0,2,32,0,5,0,0,0,1,25,2,1
261,1,0,0,0,0,0,1,0,36,36,0,7,0,0,0,3
262,5,0,12,0,8,0,9,0,22,0,0,0,0,0,0,26
263,3,0,15,0,0,0,18,14,33,0,0,0,8,0,0,3
264,2,2,0,0,0,2,39,0,43,9,0,0,2,0,0,1
265,5,0,0,2,0,0,3,0,36,30,0,8,0,0,0,5
266,4,0,1,0,6,0,32,36,9,0,0,0,8,0,0,3
267,23,0,0,0,0,0,2,0,15,0,0,0,0,0,0,28
268,3,0,0,3,0,0,1,0,18,12,0,12,0,0,0,3
269,1,0,0,1,0,0,0,0,22,24,0,13,0,0,0,1
270,2,0,1,0,2,0,35,29,7,0,0,0,1,0,0,1
271,5,0,0,4,0,0,1,0,28,16,0,0,0,0,0,19
272,1,0,0,1,0,0,1,0,30,17,0,6,0,0,0,5
273,25,0,3,0,3,0,31,17,3,0,0,4,41,0,2,5
274,22,1,0,6,0,0,0,0,24,7,0,0,0,0,0,30
275,4,23,0,25,0,14,0,0,0,0,1,0,0,0,0,1
276,12,1,0,4,0,0,1,0,14,2,0,1,0,0,1,24
277,2,0,0,0,2,0,29,36,9,0,0,0,0,0,0,1
278,27,0,0,0,10,13,0,32,0,0,0,0,0,0,0,1
279,9,1,0,0,0,0,2,0,6,1,0,0,0,0,0,24
280,7,0,2,0,3,0,23,10,4,0,0,4,14,0,4,1
281,21,0,0,5,0,0,0,0,30,7,0,0,0,0,0,32
282,3,0,0,0,5,0,25,16,10,0,0,0,4,0,0,2
283,8,0,10,0,3,0,31,32,16,0,0,0,12,0,0,6
284,24,1,0,0,0,0,5,0,9,0,0,0,0,0,0,25
285,2,0,16,0,0,23,0,0,11,0,0,0,0,0,0,1
286,9,0,0,3,0,0,0,0,27,14,0,3,0,0,0,17
287,21,1,0,4,0,0,0,0,11,4,0,1,0,0,0,18
288,4,5,0,7,0,10,27,25,21,3,0,6,11,0,5,2
289,15,0,0,5,0,0,0,0,21,5,0,2,0,0,0,19
290,1,0,3,0,1,0,11,18,19,0,0,0,0,0,0,1
291,19,0,1,0,11,14,0,37,2,0,0,0,0,0,0,3
292,21,0,0,7,0,0,4,0,12,1,0,1,0,0,0,29
293,4,0,0,3,0,0,0,0,40,18,0,1,0,0,0,18
294,1,0,37,0,0,24,0,0,6,0,0,0,0,0,0,7
295,17,0,0,4,0,0,1,0,8,3,0,0,0,0,0,15
296,1,0,0,0,11,0,0,0,0,3,0,4,0,9,0,28
297,5,0,2,0,0,2,24,0,2,3,0,0,0,20,0,2
298,1,0,13,0,0,0,8,0,11,31,0,0,1,0,0,1
299,7,0,0,0,0,0,2,0,42,24,0,3,0,0,0,20
300,2,0,5,0,0,2,10,0,13,25,0,0,2,0,0,1
301,13,0,0,3,0,0,0,0,18,1,0,0,0,0,0,16
302,3,0,0,0,0,0,2,0,28,28,0,3,0,0,0,2
303,2,0,0,1,0,0,1,0,39,4,0,0,0,0,0,27
304,4,0,11,0,3,0,18,16,22,0,0,1,2,0,0,4
305,3,15,1,5,0,5,34,0,3,1,2,0,33,0,0,8
306,2,0,0,0,0,0,3,0,25,20,0,16,0,0,0,2
307,1,0,1,0,0,0,19,0,0,0,3,0,0,0,0,36
308,3,0,0,1,0,0,2,0,35,32,0,8,0,0,0,4
309,1,0,1,0,2,0,24,23,8,0,0,0,5,0,0,3
310,16,0,0,3,0,0,2,0,23,5,0,0,0,0,1,28
311,23,0,0,3,0,0,3,0,25,2,0,1,0,0,0,26
312,4,0,1,0,0,0,38,16,0,0,0,0,16,0,0,1
313,24,0,0,4,0,0,1,0,23,6,0,0,0,0,1,31
314,2,0,0,0,20,0,0,0,0,2,0,10,0,12,0,39
315,25,0,0,1,0,0,2,0,14,0,0,0,0,0,0,33
316,4,0,2,0,4,0,34,29,11,0,0,0,4,0,0,3
317,1,0,0,0,0,0,37,36,7,0,0,0,2,0,0,3
318,8,0,0,3,0,0,0,0,31,14,0,0,0,0,0,23
319,9,0,32,0,0,32,0,0,16,0,0,0,0,1,0,5
320,1,0,8,0,2,0,19,24,16,0,0,0,0,0,0,2
321,7,0,14,0,16,0,9,6,32,0,0,0,1,0,0,14
322,1,0,0,0,13,0,0,0,0,0,0,2,0,10,0,23
323,4,0,0,1,0,5,37,0,42,3,1,0,8,0,0,1
324,6,0,3,0,1,0,30,9,0,0,0,0,25,0,0,2
325,1,0,0,0,1,0,33,0,25,0,7,0,0,0,0,3
326,2,0,4,0,23,22,0,12,0,0,0,3,0,0,0,4
327,8,0,0,5,0,0,0,0,22,7,0,9,0,0,1,15
328,4,0,5,0,3,0,33,36,11,0,0,0,7,0,0,1
329,1,0,0,0,3,0,22,22,12,0,0,0,0,0,0,2
330,4,0,12,0,5,0,14,16,23,0,0,0,1,0,0,5
331,3,0,9,0,0,0,10,0,12,25,0,0,0,0,0,1
332,3,0,2,0,0,0,0,31,29,0,14,0,0,1,5,1
333,22,0,0,0,0,0,0,0,0,3,0,0,7,0,0,28
334,14,0,0,4,8,0,11,0,32,0,0,0,0,0,0,1
335,1,0,14,0,4,0,22,20,24,0,0,0,0,2,0,2
336,3,0,8,0,0,1,19,0,21,15,0,0,0,6,0,4
337,32,0,0,3,0,0,3,0,10,0,0,0,0,0,0,37
338,13,0,1,0,9,8,0,37,0,0,0,0,0,0,0,4
339,1,0,2,0,5,0,21,29,7,0,0,0,0,0,0,1
340,6,0,6,0,3,0,23,10,4,0,0,1,12,1,7,13
341,1,0,0,0,2,0,27,26,14,0,0,0,3,0,0,3
342,2,0,0,1,0,0,5,0,31,26,0,12,0,0,1,4
343,4,0,0,0,0,0,1,0,26,14,0,0,0,0,0,14
344,5,0,1,0,2,0,20,19,8,0,0,0,6,0,0,1
345,3,0,0,15,0,0,3,0,1,6,0,29,0,0,0,2
346,9,0,3,0,14,20,0,23,0,0,0,1,0,0,0,1
347,2,0,0,0,0,0,1,0,0,23,0,0,30,0,0,10
348,1,0,2,0,4,0,27,31,15,0,0,0,1,0,0,1
349,2,1,0,2,0,3,20,0,20,24,0,0,5,0,0,5
350,22,0,2,0,6,6,0,33,0,0,0,1,0,0,0,3
351,2,0,2,0,19,30,0,18,0,0,0,1,0,0,0,2
352,1,0,23,0,0,23,0,0,13,0,0,0,0,0,0,2
353,4,0,3,0,0,1,27,0,15,10,0,0,14,10,0,8
354,1,1,0,20,0,4,6,0,6,22,2,0,0,1,0,2
355,15,0,2,0,0,0,21,1,5,0,0,0,25,0,0,1
356,3,0,19,0,3,0,8,12,37,0,0,6,2,5,3,2
357,12,0,0,2,0,0,0,0,18,2,0,0,0,0,0,16
358,1,0,0,0,8,0,0,0,0,2,0,11,0,18,0,14
359,2,0,4,0,3,0,19,19,16,0,0,0,2,0,0,1
360,6,0,16,0,4,0,35,38,33,0,0,0,6,0,0,2
361,2,0,7,0,2,0,27,25,22,0,0,0,1,0,0,2
362,3,0,0,0,0,0,3,0,21,27,0,7,0,0,0,1
363,9,0,0,3,0,0,0,0,24,19,0,5,1,0,1,13
364,1,0,9,0,3,0,15,21,16,0,0,0,0,0,0,2
365,3,0,0,1,0,0,0,0,29,24,0,14,0,0,0,4
366,1,0,0,3,0,0,1,0,26,30,0,16,0,0,2,3
367,7,0,17,0,7,0,1,2,27,0,0,0,0,0,0,16
368,14,1,0,6,0,0,0,0,19,2,0,0,0,0,0,16
369,1,0,0,2,0,0,1,0,13,10,0,8,0,0,0,1
370,2,0,1,0,1,0,26,29,9,0,0,0,2,0,0,1
371,14,0,0,0,0,0,0,0,0,10,0,0,13,0,0,28
372,1,7,0,17,0,10,29,0,29,29,0,0,1,0,0,3
373,9,0,0,2,0,0,0,0,20,3,0,1,0,0,0,27
374,1,0,0,0,2,0,0,0,0,1,0,16,0,22,0,22
375,1,0,0,0,3,0,23,35,18,0,0,0,2,0,0,1
376,4,0,0,19,0,0,7,0,33,36,0,40,0,0,0,6
377,2,0,22,0,11,0,7,2,27,0,0,0,0,0,0,9
378,3,0,0,1,0,0,3,0,25,26,0,6,0,0,0,6
379,1,1,0,2,0,3,27,0,27,12,0,0,2,0,0,1
380,4,0,2,0,1,0,31,21,2,0,0,0,16,0,0,1
381,2,0,1,0,2,0,15,23,7,0,0,0,2,0,0,1
382,3,0,0,0,12,0,0,0,0,2,0,6,0,12,0,25
383,7,0,7,0,9,0,54,44,13,0,0,0,8,0,0,2
384,13,0,3,0,0,0,20,0,1,0,0,0,1,23,0,2
385,2,0,2,0,21,20,0,13,0,0,0,1,0,0,0,5
386,1,2,0,15,0,2,16,0,23,24,0,0,0,0,0,3
387,3,0,0,0,0,0,0,0,37,22,0,5,0,0,0,12
388,5,0,0,2,23,0,29,0,26,3,0,0,0,0,0,1
389,10,0,5,0,1,0,28,23,2,0,0,0,9,0,0,1
390,14,1,0,1,0,0,2,0,19,3,0,1,0,0,0,26
391,1,0,4,0,28,31,0,4,0,0,0,4,0,0,0,1
392,25,0,0,1,0,0,0,0,12,1,0,0,0,0,0,27
393,4,0,0,1,0,0,3,0,22,15,0,2,0,0,0,11
394,3,0,0,1,0,0,2,0,27,23,0,14,0,0,0,3
395,1,0,3,0,6,0,18,30,22,0,0,0,0,0,0,1
396,8,0,0,1,0,0,1,0,31,13,0,0,0,0,0,16
397,2,0,0,0,0,0,1,0,24,11,0,14,0,0,0,7
398,23,0,0,5,0,0,0,0,15,2,0,0,0,0,0,35
399,4,0,5,0,5,0,28,18,5,0,0,0,12,0,0,3
400,8,0,0,6,0,0,3,0,20,10,0,1,0,0,3,22
401,16,0,0,2,0,0,0,0,24,1,0,0,0,0,1,28
402,21,0,0,2,0,0,0,0,15,0,0,0,0,0,0,33
403,10,0,4,0,17,19,0,16,0,0,0,0,0,0,0,1
404,18,0,0,0,0,0,0,0,21,5,0,0,0,0,0,28
405,5,0,0,3,0,0,0,0,41,18,0,0,0,0,0,18
406,2,5,0,7,1,9,23,0,13,19,6,0,2,0,0,3
407,2,0,25,0,0,0,5,11,48,0,0,0,0,0,0,3
408,6,0,0,0,0,0,4,0,38,27,0,5,0,0,0,9
